#SampleID	Groups	TimePoints	Treatment-Time	mouse-id
A1	G1_Sham	1	G1_Sham_1	m1
A2	G1_Sham	1	G1_Sham_1	m2
A3	G1_Sham	1	G1_Sham_1	m3
A4	G1_Sham	1	G1_Sham_1	m4
A5	G1_Sham	1	G1_Sham_1	m5
B1	G1_Sham	7	G1_Sham_7	m1
B2	G1_Sham	7	G1_Sham_7	m2
B3	G1_Sham	7	G1_Sham_7	m3
B4	G1_Sham	7	G1_Sham_7	m4
B5	G1_Sham	7	G1_Sham_7	m5
C1	G1_Sham	14	G1_Sham_14	m1
C2	G1_Sham	14	G1_Sham_14	m2
C3	G1_Sham	14	G1_Sham_14	m3
C4	G1_Sham	14	G1_Sham_14	m4
C5	G1_Sham	14	G1_Sham_14	m5
A6	G2_Sham_FK10	1	G2_Sham_FK10_1	m1
A7	G2_Sham_FK10	1	G2_Sham_FK10_1	m2
A8	G2_Sham_FK10	1	G2_Sham_FK10_1	m3
A9	G2_Sham_FK10	1	G2_Sham_FK10_1	m4
A10	G2_Sham_FK10	1	G2_Sham_FK10_1	m5
B6	G2_Sham_FK10	7	G2_Sham_FK10_7	m1
B7	G2_Sham_FK10	7	G2_Sham_FK10_7	m2
B8	G2_Sham_FK10	7	G2_Sham_FK10_7	m3
B9	G2_Sham_FK10	7	G2_Sham_FK10_7	m4
B10	G2_Sham_FK10	7	G2_Sham_FK10_7	m5
C6	G2_Sham_FK10	14	G2_Sham_FK10_14	m1
C7	G2_Sham_FK10	14	G2_Sham_FK10_14	m2
C8	G2_Sham_FK10	14	G2_Sham_FK10_14	m3
C9	G2_Sham_FK10	14	G2_Sham_FK10_14	m4
C10	G2_Sham_FK10	14	G2_Sham_FK10_14	m5
A11	G3_BDL	1	G3_BDL_1	m1
A12	G3_BDL	1	G3_BDL_1	m2
A13	G3_BDL	1	G3_BDL_1	m3
A14	G3_BDL	1	G3_BDL_1	m4
A15	G3_BDL	1	G3_BDL_1	m5
B11	G3_BDL	7	G3_BDL_7	m1
B12	G3_BDL	7	G3_BDL_7	m2
B13	G3_BDL	7	G3_BDL_7	m3
B14	G3_BDL	7	G3_BDL_7	m4
B15	G3_BDL	7	G3_BDL_7	m5
C11	G3_BDL	14	G3_BDL_14	m1
C12	G3_BDL	14	G3_BDL_14	m2
C13	G3_BDL	14	G3_BDL_14	m3
C14	G3_BDL	14	G3_BDL_14	m4
C15	G3_BDL	14	G3_BDL_14	m5
A16	G4_FK10_BDL	1	G4_FK10_BDL_1	m1
A17	G4_FK10_BDL	1	G4_FK10_BDL_1	m2
A18	G4_FK10_BDL	1	G4_FK10_BDL_1	m3
A19	G4_FK10_BDL	1	G4_FK10_BDL_1	m4
A20	G4_FK10_BDL	1	G4_FK10_BDL_1	m5
B16	G4_FK10_BDL	7	G4_FK10_BDL_7	m1
B17	G4_FK10_BDL	7	G4_FK10_BDL_7	m2
B18	G4_FK10_BDL	7	G4_FK10_BDL_7	m3
B19	G4_FK10_BDL	7	G4_FK10_BDL_7	m4
B20	G4_FK10_BDL	7	G4_FK10_BDL_7	m5
C16	G4_FK10_BDL	14	G4_FK10_BDL_14	m1
C17	G4_FK10_BDL	14	G4_FK10_BDL_14	m2
C18	G4_FK10_BDL	14	G4_FK10_BDL_14	m3
C19	G4_FK10_BDL	14	G4_FK10_BDL_14	m4
C20	G4_FK10_BDL	14	G4_FK10_BDL_14	m5
A36	G8_UK	1	G8_UK_1	m1
A37	G8_UK	1	G8_UK_1	m2
A38	G8_UK	1	G8_UK_1	m3
A39	G8_UK	1	G8_UK_1	m4
A40	G8_UK	1	G8_UK_1	m5
B36	G8_UK	7	G8_UK_7	m1
B37	G8_UK	7	G8_UK_7	m2
B38	G8_UK	7	G8_UK_7	m3
B39	G8_UK	7	G8_UK_7	m4
B40	G8_UK	7	G8_UK_7	m5
C36	G8_UK	14	G8_UK_14	m1
C37	G8_UK	14	G8_UK_14	m2
C38	G8_UK	14	G8_UK_14	m3
C39	G8_UK	14	G8_UK_14	m4
C40	G8_UK	14	G8_UK_14	m5
